Repository Name,Commit Link,File Name,Change Behavior,Remark
aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base/commit/c5ec745135ff57c7e3e99159abad2e54d76ac7ec,WebView.java,nullable nonnull,Opposiate change
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community/commit/b8d095233317b898c08db6fc42c953bca32e79e4,EmptyWebProjectTemplate.java,nullable nonnull,Opposiate change
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community/commit/dce3de0ef57bebb42d82b66739981bf71383a7c1,TaskWithSubtasksChecker.java,NotNull nullable,Opposiate change
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community/commit/56c824c12fa510c6b26eae9b64036234f6efaa94,StreamChainTransformer.java,nullable nonnull,Opposiate change
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community/commit/25bc4b3445570ecdcb17163d90e91ac9820d2256,OptionTagBinding.java,NotNull nullable,Opposiate change
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community/commit/0abad3f19c6a238ba0de48b95cd159a2f733e346,UsageView.java,NotNull nullable,Opposiate change
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community/commit/e4f86b836dda42e283f1052ca162a852a441c3a2,EmptyWebProjectTemplate.java,NotNull nullable,Opposiate change
consulo/consulo,https://github.com/consulo/consulo/commit/fd2e674a6deb7d3a4da74169a11c442ea25b92d0,ContentFactoryImpl.java,NotNull nullable,Opposiate change
consulo/consulo,https://github.com/consulo/consulo/commit/4b5ca4bc23d7756ef5b5bde74be8b4a9254a5fe4,Application.java,NotNull nullable,Opposiate change
consulo/consulo,https://github.com/consulo/consulo/commit/c3f55cc54755900b6128e7a07b191917f7402e6e,ModifiableModuleModel.java,NotNull Nullable,Opposiate change
JetBrains/MPS,https://github.com/JetBrains/MPS/commit/3f617f128c02c79cdd613809a60089d034c906f0,IncrementalTypecheckingContext.java,NotNull nullable,Opposiate change
neo4j/neo4j,https://github.com/neo4j/neo4j/commit/552d7fc59b49832036fcc50938f3ba426cd472b9,Logger.java,NotNull nullable,Opposiate change
JetBrains/android,https://github.com/JetBrains/android/commit/f0e668c1541000578879118a8b7d4667198ba84e,AndroidUtils.java,NotNull nullable,Opposiate change
JetBrains/android,https://github.com/JetBrains/android/commit/c5f94ee06fe61fa51a0e4eb67aba3ad93dfc6d35,ContentRootModuleSetupStep.java,NotNull nullable,Opposiate change
JetBrains/android,https://github.com/JetBrains/android/commit/f0e668c1541000578879118a8b7d4667198ba84e,AndroidUtils.java,NotNull Nullable,Opposiate change
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/commit/8eeb6ffa3f07a5c82b441c4319afb96b5a1f0c47,FilteringAwareObserver.java,nullable nonnull,Opposiate change
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/commit/4396a5ad3affe25acee8e080a646eb6391398b32,EmptyObserver.java,nullable nonnull,Opposiate change
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak/commit/6a13ae6179c34316fdf0ddbdba85ce5fe88251a3,EventQueue.java,NotNull Nullable,Opposiate change
JetBrains/intellij-plugins,https://github.com/JetBrains/intellij-plugins/commit/9a323713d4cce67795c6259c10fffe6c03bc90b5,DartFeedbackBuilder.java,Nullable notnulll,Opposiate change
cgeo/cgeo,https://github.com/cgeo/cgeo/commit/bb51dc30d164649279e51c91b6879d8c9c826850,GCConnector.java,NotNull nullable,Opposiate change
cgeo/cgeo,https://github.com/cgeo/cgeo/commit/6d0a2f562dae0a236b30b8e733410b44a4dcb7bd,IConnector.java,NotNull nullable,Opposiate change
ballerinalang/ballerina,https://github.com/ballerinalang/ballerina/commit/3d6e8657df037186d1bab286fb924d9225702d8a,BallerinaImportDeclaration.java,NotNull nullable,Opposiate change
crate/crate,https://github.com/crate/crate/commit/23c777e9b7da6c979990d5a0a938f0df349a32c2,CountContext.java,Nullable notnulll,Opposiate change
UweTrottmann/SeriesGuide,https://github.com/UweTrottmann/SeriesGuide/commit/1299a4b2af500edd209ecfcbfead2c215821be35,EpisodeFlagJob.java,Nullable notnulll,Opposiate change
MinecraftForge/MinecraftForge,https://github.com/MinecraftForge/MinecraftForge/commit/9cf74914e7d1b70bc6d21d9b879ab10921e1a39b,RenderTooltipEvent.java,Nullable notnulll,Opposiate change
serge-rider/dbeaver,https://github.com/serge-rider/dbeaver/commit/6d968f001919e5cddf1ba7a3b29d01125b425276,DBNDatabaseFolder.java,NotNull nullable,Opposiate change
serge-rider/dbeaver,https://github.com/serge-rider/dbeaver/commit/fcd931ca684f04c5aba456b80d127d0041c31f60,PostgreTableForeignKey.java,NotNull nullable,Opposiate change
serge-rider/dbeaver,https://github.com/serge-rider/dbeaver/commit/a0f3457f04ecff3c8c7af7b2fc6dda216dc12988,DBNDatabaseObject.java,NotNull nullable,Opposiate change
serge-rider/dbeaver,https://github.com/serge-rider/dbeaver/commit/fdaea42000e6939f283e0997283cb159e8eb4ff6,IGridContentProvider.java,NotNull Nullable,Opposiate change
go-lang-plugin-org/go-lang-idea-plugin,https://github.com/go-lang-plugin-org/go-lang-idea-plugin/commit/0b726f0522a18688cae298025a30074c7e37033d,GoStringLiteralImpl.java,Nullable notnulll,Opposiate change
go-lang-plugin-org/go-lang-idea-plugin,https://github.com/go-lang-plugin-org/go-lang-idea-plugin/commit/9dd34989556abe6fa6bec2b1e670c248777c02af,GoFmtFileAction.java,Nullable notnulll,Opposiate change
go-lang-plugin-org/go-lang-idea-plugin,https://github.com/go-lang-plugin-org/go-lang-idea-plugin/commit/d6002064776dc83c38999edfa8fe83a6d6a5984b,GoTargetSystem.java,NotNull Nullable,Opposiate change
OpenHFT/Chronicle-Engine,https://github.com/OpenHFT/Chronicle-Engine/commit/5c3e6341d975044de9aa532ebaef0df184bd8add,InsertedEvent.java,NotNull Nullable,Opposiate change
OpenHFT/Chronicle-Engine,https://github.com/OpenHFT/Chronicle-Engine/commit/438f29844d6a76381f3408e84f963952b71b2d23,QueueSimpleSubscription.java,NotNull nullable,Opposiate change
OpenHFT/Chronicle-Engine,https://github.com/OpenHFT/Chronicle-Engine/commit/4eb99f4836ab29ff4bb6d3815de45518125d1a61,SystemHandler.java,NotNull nullable,Opposiate change
OpenHFT/Chronicle-Engine,https://github.com/OpenHFT/Chronicle-Engine/commit/5c3e6341d975044de9aa532ebaef0df184bd8add,InsertedEvent.java,NotNull Nullable,Opposiate change
SlimeKnights/TinkersConstruct,https://github.com/SlimeKnights/TinkersConstruct/commit/ce75f812ecdd179826cc84b776f8e1157c37eea1,BlockSlimeLeaves.java,NotNull nullable,Opposiate change
Vazkii/Botania,https://github.com/Vazkii/Botania/commit/6e5f75751870797269785855a11b0756db153c2a,RenderTileBellows.java,NotNull nullable,Opposiate change
griffon/griffon,https://github.com/griffon/griffon/commit/dcba6583529f08ff62cd1ccf2bb065dcbbb699ff,FieldConfigurationDescriptor.java,NotNull nullable,Opposiate change
griffon/griffon,https://github.com/griffon/griffon/commit/efe6899bf205d4015856fdf6056f6e69e694bd82,AbstractMVCGroup.java,Nullable notnulll,Opposiate change
Camelcade/Perl5-IDEA,https://github.com/Camelcade/Perl5-IDEA/commit/64d77e93c46b365f2627a74c805446a72f31641c,PerlVariableLightImpl.java,NotNull nullable,Opposiate change
Camelcade/Perl5-IDEA,https://github.com/Camelcade/Perl5-IDEA/commit/b6b34b3c51527b16d807ead9b1907c8b579c9117,PerlNamespaceContainer.java,NotNull nullable,Opposiate change
Camelcade/Perl5-IDEA,https://github.com/Camelcade/Perl5-IDEA/commit/5e4d0c982c42d9a248b38537a700c3cc218f24ae,PerlIfStatementModifier.java,NotNull nullable,Opposiate change
KronicDeth/intellij-elixir,https://github.com/KronicDeth/intellij-elixir/commit/f0f41100faa1ade5c7d7c25c09114d3d2b7d109e,ElixirUnmatchedAtUnqualifiedNoParenthesesCall.java,Nullable notnulll,Opposiate change
KronicDeth/intellij-elixir,https://github.com/KronicDeth/intellij-elixir/commit/2d62056fd065cb08129beb1da6e94d4c032c33ce,ElixirCaptureNumericOperation.java,NotNull nullable,Opposiate change
KronicDeth/intellij-elixir,https://github.com/KronicDeth/intellij-elixir/commit/cacd8c6f8a49061329620ef06f921b924b5a9490,ElixirUnmatchedUnqualifiedNoParenthesesCall.java,NotNull nullable,Opposiate change
KronicDeth/intellij-elixir,https://github.com/KronicDeth/intellij-elixir/commit/2f192ab65b2cb3a7c89b94eedc6bd92065cc97f1,ElixirMatchedQualifiedParenthesesCallImpl.java,NotNull nullable,Opposiate change
KronicDeth/intellij-elixir,https://github.com/KronicDeth/intellij-elixir/commit/778b7e5a304291859217bbe624c5e4b9fff8db54,ElixirAlias.java,NotNull nullable,Opposiate change
raoulvdberge/refinedstorage,https://github.com/raoulvdberge/refinedstorage/commit/b2406eed2c56f5136ab1c35f8ad7091f35d039dd,ISoldererRecipe.java,NotNull nullable,Opposiate change
ForestryMC/ForestryMC,https://github.com/ForestryMC/ForestryMC/commit/a0d355d0aaf0500dea9dc85140072a0de443c649,TankRenderInfo.java,NotNull nullable,Opposiate change
Raizlabs/DBFlow,https://github.com/Raizlabs/DBFlow/commit/92d8ef636e14fe6cee50e662674b9f653aea6038,PropertyFactory.java,NotNull nullable,Opposiate change
Raizlabs/DBFlow,https://github.com/Raizlabs/DBFlow/commit/e386f957af0eaa3a07821462922db006ef554c85,QueryTransaction.java,NotNull nullable,Opposiate change
HaxeFoundation/intellij-haxe,https://github.com/HaxeFoundation/intellij-haxe/commit/ca3cf01d94f9a90518c6062063586685a15fd005,HaxeExternFunctionDeclaration.java,NotNull nullable,Opposiate change
ignatov/intellij-erlang,https://github.com/ignatov/intellij-erlang/commit/450add1eecaaeaf1661f7f3a15df3440656faaea,ErlangListExpression.java,NotNull nullable,Opposiate change
Haehnchen/idea-php-symfony2-plugin,https://github.com/Haehnchen/idea-php-symfony2-plugin/commit/6a3929f2345fb626565254590a83552a53563df3,DummyAttributeValue.java,NotNull nullable,Opposiate change
testwhat/SmaliEx,https://github.com/testwhat/SmaliEx/commit/0a5f278d5fc25b8e1d2d644e7eefa2702579dee3,SmaliMethodStub.java,NotNull nullable,Opposiate change
k0shk0sh/FastHub,https://github.com/k0shk0sh/FastHub/commit/9c80ba32678ee60c244c2dd6bb1bbdee205669f5,ViewHelper.java,NotNull nullable,Opposiate change
divolte/divolte-collector,https://github.com/divolte/divolte-collector/commit/07ee35964c17f1427cbbc713be8e9aeb36f0f9d6,SessionBinningFileStrategyConfiguration.java,Nullablet Nonnull,Opposiate change
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community/commit/7edea1ebab6b3516c61da6d6159bcff351957a8f,Notification.java,NotNull Nullable,Opposiate change
stripe/stripe-android,https://github.com/stripe/stripe-android/commit/27f61360b4a935ee1b97184929acc384bb676516,SourceParams.java,NotNull nullable,Opposiate change
kabouzeid/Phonograph,https://github.com/kabouzeid/Phonograph/commit/528d267ab381c440a482033b0d4451b67e812151,MusicPlaybackQueueStore.java,Nullable notnulll,Opposiate change
Kennyc1012/Opengur,https://github.com/Kennyc1012/Opengur/commit/7ffc6a18c318e85a70635ead10022c4ed5b4e409,ImgurBusEvent.java,Nullable notnulll,Opposiate change
rsksmart/rskj,https://github.com/rsksmart/rskj/commit/f1a26ccb517e70c7ae659da0afcf46fb8cb32e27,SkeletonDownloadHelper.java,Nullable notnulll,Opposiate change
ACRA/acra,https://github.com/ACRA/acra/commit/a8e01dd01adc60756fea3551f37e1140e49c0497,ACRAConfiguration.java,Nullable notnulll,Opposiate change
drewnoakes/metadata-extractor,https://github.com/drewnoakes/metadata-extractor/commit/b059c93617566206905fe59e583206ca05354841,QtAtomHandler.java,NotNull nullable,Opposiate change
JetBrains/intellij-plugins,https://github.com/JetBrains/intellij-plugins/commit/ce87f9a4d425426c8cb876d2fe6b3d9da7f1e8a9,MotionAppRunParameters.java,NotNull Nullable,Opposiate change
JetBrains/intellij-plugins,https://github.com/JetBrains/intellij-plugins/commit/b2125cb84c311c622697a730439ab3bd39eda621,AbstractDartPsiClass.java,Nullable NotNull,Opposiate change
JetBrains/intellij-plugins,https://github.com/JetBrains/intellij-plugins/commit/dcabcf786d67f95ef02bd36691005325b464cb19,AngularJSTemplateFactory.java,NotNull Nullable,Opposiate change
JetBrains/intellij-plugins,https://github.com/JetBrains/intellij-plugins/commit/926d0d59de9d2c7fcde8da7bf1fd8e0ce38bbb23,AngularJS2IndexingHandler.java,NotNull-nullable,Opposiate change
HaxeFoundation/intellij-haxe,https://github.com/HaxeFoundation/intellij-haxe/commit/c55f48409ed44d965d7f456ee015d08108bedaf5,HaxeObjectLiteralElement.java,NotNull Nullable,Opposiate change
CyanogenMod/android_frameworks_base,https://github.com/CyanogenMod/android_frameworks_base/commit/22f86b4e77c77312e8b3f08fc598be00c323f750,PrintJobInfo.java,NotNull Nullable,Opposiate change
SlimeKnights/TinkersConstruct,https://github.com/SlimeKnights/TinkersConstruct/commit/7c33987c4fa0d2b36dfd0877c77ace4328f67606,TileTank.java,NotNull Nullable,Opposiate change
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server/commit/3bafa0428505fa767ce40bc6c0c9b6d222de89f6,TimeBasedRotationStrategy.java,NotNull Nullable,Opposiate change
pushtorefresh/storio,https://github.com/pushtorefresh/storio/commit/358b5bedd3729c773e6f333613bb47c91b3f6565,PreparedDeleteCollectionOfObjects.java,NotNull Nullable,Opposiate change
wikimedia/apps-android-wikipedia,https://github.com/wikimedia/apps-android-wikipedia/commit/465532d7fe44d1b5ba907da528d7785f9467f20c,ListCardItemView.java,NotNull Nullable,Opposiate change
testwhat/SmaliEx,https://github.com/testwhat/SmaliEx/commit/9423a7d7d0b17062a9eb107dbc00261e97c6e63d,SmaliFieldStub.java,NotNull Nullable,Opposiate change
ForestryMC/ForestryMC,https://github.com/ForestryMC/ForestryMC/commit/a0d355d0aaf0500dea9dc85140072a0de443c649,TankRenderInfo.java,Nonnull Nullable,Opposiate change
mezz/JustEnoughItems,https://github.com/mezz/JustEnoughItems/commit/58891dad4b91e79a7f5c9a4a74fdd786bb83fc29,IStackHelper.java,Nonnull Nullable,Opposiate change
Vazkii/Botania,https://github.com/Vazkii/Botania/commit/6e5f75751870797269785855a11b0756db153c2a,RenderTileAvatar.java,Nonnull-nullable,Opposiate change
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server/commit/3bafa0428505fa767ce40bc6c0c9b6d222de89f6,TimeBasedRotationStrategy.java,Nonnull-nullable,Opposiate change
apache/hadoop,https://github.com/apache/hadoop/commit/da0b6a354bf6f6bf37ca5a05a4a8eece09aa4893,Resource.java,Private Public,Opposiate change
apache/hadoop,https://github.com/apache/hadoop/commit/01665e456de8d79000ce273dded5ea53aa62965a,AbstractDelegationTokenSecretManager.java,Public Private,Opposiate change
apache/hadoop,https://github.com/apache/hadoop/commit/5bd7dece920b20da95755cf7fbba9b3f39c7da69,NameNodeMXBean.java,Public Private,Opposiate change
apache/hadoop,https://github.com/apache/hadoop/commit/4a83170be477e6f39f134207f74084888174e96b,CollectorInfo.java,Public Private,Opposiate change
apache/hadoop,https://github.com/apache/hadoop/commit/98c2bc87b1445c533268c58d382ea4e4297303fd,package-info.java,Public Private,Opposiate change
apache/hbase,https://github.com/apache/hbase/commit/81d2927e4cd31a40d091a2f77133cafb394949e6,UnmodifyableHRegionInfo.java,Private Public,Opposiate change
apache/hbase,https://github.com/apache/hbase/commit/177344cdbf8a08a6d225312b2327ff1ea8a21067,AsyncAdmin.java,Private Public,Opposiate change
apache/hbase,https://github.com/apache/hbase/commit/e0aff109018918514c8f27a8a90159e695e8b542,ScheduledChore.java,Private Public,Opposiate change
apache/hbase,https://github.com/apache/hbase/commit/7bb68b9031591cf378954a0eb8f71a8b9be01f9c,TableState.java,Private Public,Opposiate change
apache/hbase,https://github.com/apache/hbase/commit/59a6e031fb20c8455d897b4ee2526b61224af961,ProcedureStoreTracker.java,Private Public,Opposiate change
apache/hbase,https://github.com/apache/hbase/commit/743d16138e8817164f82026b4ef26fbd02c204bd,RESTServer.java,Private Public,Opposiate change
apache/tez,https://github.com/apache/tez/commit/b7b1b69fd7b5c4883d8ee011496a731f3d0de395,AsyncDispatcher.java,Public Private,Opposiate change
Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/b465010814ed39e5cdc12fcafe20dd7ef3b95cdf,BlockMasterWorkerServiceHandler.java,ThreadSafe  NotThreadSafe,Opposiate change
Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/cc1f2a5824d9f2c917240cd8458e270263208d0a,DummyFileOutputStream.java,ThreadSafe .NotThreadSafe,Opposiate change
Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/6698f62db66e3a11ae2ebdc7fb9c5a7b4b339b37,JmxSink.java,ThreadSafe NotThreadSafe,Opposiate change
toolbox4minecraft/amidst,https://github.com/toolbox4minecraft/amidst/commit/354b94d1fd8f6349e9579f65ad9a5950423f14fe,World.java,NotThreadSafe ThreadSafe,Opposiate change
Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/01d2668a0a3be81d6ebf0ff4dd72b1e2fa821c57,LineageMasterClientRestServiceHandler.java,@GET  @POST,Opposiate change
wso2-attic/product-emm,https://github.com/wso2-attic/product-emm/commit/5562421d6fe746b98c9abe52eee2c4b76a27d054,DeviceSearch.java,@GET @POST,Opposiate change
zulip/zulip-android,https://github.com/zulip/zulip-android/commit/470ade3fbe892fe8123387231df808763cf2b593,ZulipServices.java,@POST @GET,Opposiate change
support-project/knowledge,https://github.com/support-project/knowledge/commit/9c792fb4528277fd5d6d42cbfd4fd164815ffb79,KnowledgeControl.java,@Get @Post,Opposiate change
support-project/knowledge,https://github.com/support-project/knowledge/commit/d65f89030b854362fe6f3098a5521b5826f53b89,GroupControl.java,@Get @Post,Opposiate change
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server/commit/b319ed7a4813c6d50f4bcaa66299cb7268c6fa5b,StreamAlertReceiverResource.java,javax.ws.rs.POST--javax.ws.rs.GET,Opposiate change
apereo/cas,https://github.com/apereo/cas/commit/fe618d6bc1801e657ab3209835121a16577ee13c,AuthenticationEventsController.java,@RequestMapping  @PostMapping,Opposiate change
Netflix/genie,https://github.com/Netflix/genie/commit/ac816fa50caf49b464a767ac44c857279cf54dd5,ClusterRestController.java,@RequestMapping @DeleteMapping,Opposiate change
google/guava,https://github.com/google/guava/commit/5a5a6cf012b5bc4638f75fdf9d975086f0161c12,ForwardingFuture.java,@GwtIncompatible @GwtCompatible,Opposiate change
google/guava,https://github.com/google/guava/commit/49e7d716f0f72d00c490864c3d11b815cfe93ec4,Throwables.java,@GwtIncompatible--@GwtCompatible,Opposiate change
apache/cxf,https://github.com/apache/cxf/commit/a00cdee0eb6179ee5ec4f0f1ae303ca1449056e0,ServerAuthorizationCodeGrant.java,@OneToOne @ManyToOne ,Opposiate change
apache/cxf,https://github.com/apache/cxf/commit/0caf563789f6968e2480bc885abd9ab01c8eae35,ServerAccessToken.java,@OneToMany @ManyToMany,Opposiate change
IQSS/dataverse,https://github.com/IQSS/dataverse/commit/531838449a75e9796dade77c38452c32e503f60f,Dataverse.java,@OneToMany @ManyToMany,Opposiate change
hortonworks/cloudbreak,https://github.com/hortonworks/cloudbreak/commit/fe28fdf74f799c7d5e73d8087292d8b33c2263d9,HostGroup.java,@ManyToOne @OneToOne,Opposiate change
denimgroup/threadfix,https://github.com/denimgroup/threadfix/commit/49ae481e2c1eeefa182849f0a57608f80068076e,GRCApplication.java,@ManyToOne @OneToOne,Opposiate change
iotaledger/iri,https://github.com/iotaledger/iri/commit/991b2c80c01fd589f9c5a91a75c00ad85dcb996e,Tip.java,@HasMany--@HasOne,Opposiate change
deeplearning4j/deeplearning4j,https://github.com/deeplearning4j/deeplearning4j/commit/15e22f754966f5c54482125169ba1cad0c33a105,EmbeddingLayer.java, @AllArgsConstructor  @NoArgsConstructor ,Opposiate change
spring-cloud/spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix/commit/e698fa664bea239e0ffd00217ab3f69e8c0addcc,FeignAcceptGzipEncodingAutoConfiguration.java,@AutoConfigureBefore @AutoConfigureAfter,Opposiate change
INRIA/spoon,https://github.com/INRIA/spoon/commit/99a84a7499413a45c6f1cbf6df7b37a12b1acb6b,CtConstructorCall.java,@PropertySetter @PropertyGetter,Opposiate change
spring-cloud/spring-cloud-commons,https://github.com/spring-cloud/spring-cloud-commons/commit/883558fa07254db72d11aeda16d06cc32289dda4,RefreshEndpoint.java,@ReadOperation @WriteOperation,Opposiate change
liferay/liferay-portal,https://github.com/liferay/liferay-portal/commit/f39306d98dbdf8ed7fc3e2b3f5252b578879820c,AdaptiveMediaMessagingConfigurator.java,@Deactivate @Activate,Opposiate change
apache/hadoop,https://github.com/apache/hadoop/commit/f66ad1fab958a28ef40c684366c23695237a8e60,ReconfigurationTaskStatus.java,@InterfaceStability.Stable @InterfaceStability.Unstable,Opposiate change
apache/hadoop,https://github.com/apache/hadoop/commit/2ed65540a3fe73db5d2dd0d25e658ccf13c9188a,VersionInfo.java,@InterfaceStability.Stable @InterfaceStability.Unstable,Opposiate change
apache/hadoop,https://github.com/apache/hadoop/commit/1d330fbaf6b50802750aa461640773fb788ef884,AclStatus.java,@InterfaceStability.Evolving @InterfaceStability.stable,Opposiate change
apache/hadoop,https://github.com/apache/hadoop/commit/b2c78536cb55c58e4d4a0ea16f648a34c7e2f88c,FileContext.java,@InterfaceStability.Evolving @InterfaceStability.stable,Opposiate change
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server/commit/4730a3dcf1203cfc1d0b5ccb7c3a7f788b3213c8,ClusterLoggersResource.java,@AuditEvent @NoAuditEvent,Opposiate change
jamesagnew/hapi-fhir,https://github.com/jamesagnew/hapi-fhir/commit/1ec742350a16622597bf027abe4cf46e0244b68b,RestfulPatientResourceProviderMore.java,@Read @Delete,Opposiate change
